#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
    297000   0.99924199     0.014708215    16.714189      1.4987131      18.212902     -3.8862633    
    298000   1.0081078      0.020745155    16.702685      1.5120105      18.214696     -3.8932548    
    299000   1.0042233     -0.0055634571   16.710309      1.5061843      18.216494     -3.8973839    
    300000   0.98906567     0.0044443006   16.734781      1.4834501      18.218231     -3.8729161    
    301000   0.99415048     0.017173866    16.728937      1.4910766      18.220013     -3.8662593    
    302000   0.99486592    -0.0022714705   16.729705      1.4921497      18.221855     -3.8851062    
    303000   1.0102838     -0.014370049    16.708361      1.5152741      18.223635     -3.8906942    
    304000   1.0046261      0.004880881    16.718689      1.5067885      18.225478     -3.8817984    
    305000   1.0088028      0.0046920013   16.714247      1.5130528      18.2273       -3.8945578    
    306000   1.0142309     -0.0095387826   16.707748      1.5211943      18.228942     -3.8975516    
    307000   1.0163585      0.0095576396   16.705903      1.5243852      18.230288     -3.9034654    
    308000   1.0033626     -0.015752029    16.726418      1.5048933      18.231311     -3.880824     
    309000   0.99523559     0.011814912    16.739595      1.4927041      18.232299     -3.8713402    
    310000   1.01022       -0.0021561101   16.718038      1.5151785      18.233217     -3.885331     
    311000   1.0046889      0.010303079    16.727032      1.5068827      18.233914     -3.8779713    
    312000   0.99772314    -0.0123579      16.73806       1.4964351      18.234495     -3.8756425    
    313000   1.0055951     -0.0041724181   16.726854      1.5082418      18.235096     -3.8745214    
    314000   1.0023677      0.013261282    16.732208      1.5034012      18.235609     -3.8782078    
    315000   0.999764       0.0039347848   16.736366      1.499496       18.235862     -3.8867179    
    316000   1.0074228     -0.017179764    16.72487       1.5109832      18.235853     -3.8886246    
    317000   1.0055519     -0.0072061301   16.727584      1.5081771      18.235761     -3.8846474    
    318000   1.0089192     -0.0093759793   16.72239       1.5132275      18.235618     -3.8852345    
    319000   1.0080371      0.013804587    16.723389      1.5119045      18.235294     -3.8793031    
    320000   1.0044874      0.0086497826   16.728076      1.5065804      18.234656     -3.8711262    
    321000   0.99085232    -0.019061637    16.747859      1.4861299      18.233989     -3.8502406    
    322000   0.99420355    -0.0074578469   16.742304      1.4911562      18.23346      -3.8576097    
    323000   0.99427667     0.0015744134   16.741784      1.4912659      18.23305      -3.8755932    
    324000   1.0048964     -0.0037132325   16.725403      1.5071939      18.232597     -3.8736166    
    325000   1.0035419     -0.0029033712   16.726836      1.5051623      18.231998     -3.8796586    
    326000   1.0102295     -0.0046815446   16.71604       1.5151927      18.231233     -3.8815622    
    327000   1.003606       0.00857661     16.725053      1.5052585      18.230311     -3.8857718    
    328000   1.0079215      0.0031224039   16.71744       1.5117311      18.229171     -3.8919227    
    329000   1.0044205      0.0038428434   16.721271      1.5064801      18.227752     -3.8810936    
    330000   0.99578259    -0.0011443053   16.732649      1.4935245      18.226174     -3.8794516    
    331000   1.0052746      0.0029850442   16.716773      1.5077611      18.224534     -3.8834227    
    332000   1.0081522      0.0062177756   16.71066       1.5120771      18.222737     -3.9005112    
    333000   1.0080008     -0.0036176178   16.70887       1.51185        18.22072      -3.9005385    
