#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
2490000 -3109.21 2.29391 0.435813 0.85 -139.599 0.900232
2500000 -3123.69 2.15711 0.435807 0.85 -139.599 0.900232
2510000 -3144.67 2.0133 0.435827 0.85 -139.599 0.900232
2520000 -3128.17 2.12912 0.435873 0.85 -139.599 0.900232
2530000 -3123.47 2.1763 0.435865 0.85 -139.599 0.900232
2540000 -3114.49 2.28204 0.435864 0.85 -139.599 0.900232
2550000 -3171.66 1.72484 0.435869 0.85 -139.599 0.900232
2560000 -3170.73 1.73263 0.435908 0.85 -139.599 0.900232
2570000 -3134.64 2.08515 0.435936 0.85 -139.599 0.900232
2580000 -3149.02 2.00938 0.435973 0.85 -139.599 0.900232
2590000 -3100.66 2.50236 0.436 0.85 -139.599 0.900232
2600000 -3111.25 2.28621 0.436017 0.85 -139.599 0.900232
2610000 -3090.85 2.47218 0.436019 0.85 -139.599 0.900232
2620000 -3132.72 2.05844 0.436027 0.85 -139.599 0.900232
2630000 -3140.09 2.00333 0.436047 0.85 -139.599 0.900232
2640000 -3122.06 2.17728 0.436045 0.85 -139.599 0.900232
2650000 -3110.9 2.2939 0.436051 0.85 -139.599 0.900232
2660000 -3156.85 1.9034 0.436056 0.85 -139.599 0.900232
2670000 -3115.23 2.22499 0.436081 0.85 -139.599 0.900232
2680000 -3102.24 2.35328 0.436098 0.85 -139.599 0.900232
2690000 -3111.53 2.30969 0.436104 0.85 -139.599 0.900232
2700000 -3115.49 2.3147 0.436125 0.85 -139.599 0.900232
2710000 -3111.9 2.37477 0.436122 0.85 -139.599 0.900232
2720000 -3089.18 2.61216 0.436088 0.85 -139.599 0.900232
2730000 -3116.11 2.32264 0.436099 0.85 -139.599 0.900232
2740000 -3118.3 2.25367 0.436108 0.85 -139.599 0.900232
2750000 -3115.58 2.30697 0.436129 0.85 -139.599 0.900232
2760000 -3144.1 2.02985 0.436149 0.85 -139.599 0.900232
2770000 -3144.08 1.98527 0.436144 0.85 -139.599 0.900232
2780000 -3100.42 2.44824 0.436141 0.85 -139.599 0.900232
2790000 -3109.82 2.32031 0.436142 0.85 -139.599 0.900232
2800000 -3090.83 2.47048 0.436123 0.85 -139.599 0.900232
2810000 -3149.52 1.88576 0.436136 0.85 -139.599 0.900232
2820000 -3128.33 2.17732 0.436115 0.85 -139.599 0.900232
2830000 -3140.32 2.05147 0.436124 0.85 -139.599 0.900232
2840000 -3110.78 2.30435 0.436158 0.85 -139.599 0.900232
2850000 -3098.24 2.47848 0.43617 0.85 -139.599 0.900232
2860000 -3117.9 2.33034 0.43621 0.85 -139.599 0.900232
2870000 -3117.66 2.31942 0.436224 0.85 -139.599 0.900232
